"","Tank","Treatment","Time","Rate_per_day","Day","P_(dbars)","TA_(mmol/kgSW)","TCO2_in_(mmol/kgSW)","fCO2_in_(matm)","pCO2_in_(matm)","HCO3_in_(mmol/kgSW)","CO3_in_(mmol/kgSW)","CO2_in_(mmol/kgSW)","B_Alk_in_(mmol/kgSW)","OH_in_(mmol/kgSW)","P_Alk_in_(mmol/kgSW)","Si_Alk_in_(mmol/kgSW)","Revelle_in","ca_in","ar_in","Mean_arag_sat","mean_pH","sd_pH","min_pH","max_pH","mean_Salinity","sd_Salinity","min_Salinity","max_Salinity","mean_Temperature","sd_Temperature","min_Temperature","max_Temperature","sd_Oxygen","min_Oxygen","max_Oxygen","mean_Oxygen_mgL","sd_Oxygen_mgL","min_Oxygen_mgL","max_Oxygen_mgL","Sample"
"1",1,"Control",1,-16.279001492149,"+ 85 days",0,2280.33333333333,2133.59545898438,436.194061279297,437.933502197266,2001.46032565917,111.314898187228,20.8203910247689,55.1255820089962,1.12766250145517,0,0,14.0819393138178,2.66192526929555,1.68513034253247,1.74350531796934,8.01816666666667,0.0948235053936589,7.77,8.23,34.1091666666667,0.380776600133254,33.05,35.35,8.57666666666667,0.807248237851359,7.5,10.8,3.80296457359553,93.6,110.6,9.62033333333333,0.324057782390246,8.77,10.38,1
"2",1,"Control",2,-92.4482544713003,"+ 134 days",0,2281,2068.27612304688,303.320098876953,304.513916015625,1902.96662150455,151.306519242546,14.0028838006199,73.7067760706757,1.72076751930136,0,0,11.768474129292,3.62003899388293,2.29463469201984,2.2939664593785,8.188125,0.117677456936185,7.95,8.38,33.7540625,0.33729339554373,32.49,34.23,10.31875,0.841825014381676,8.5,11.6,2.68033271586606,94.3,105.2,9.0525,0.212314435107081,8.61,9.44,1
"3",1,"Control",1,-3.55163230521136,"+ 85 days",0,2280.33333333333,2133.59545898438,436.194061279297,437.933502197266,2001.46032565917,111.314898187228,20.8203910247689,55.1255820089962,1.12766250145517,0,0,14.0819393138178,2.66192526929555,1.68513034253247,1.74350531796934,8.01816666666667,0.0948235053936589,7.77,8.23,34.1091666666667,0.380776600133254,33.05,35.35,8.57666666666667,0.807248237851359,7.5,10.8,3.80296457359553,93.6,110.6,9.62033333333333,0.324057782390246,8.77,10.38,2
"4",1,"Control",2,4.49743740257381,"+ 134 days",0,2281,2068.27612304688,303.320098876953,304.513916015625,1902.96662150455,151.306519242546,14.0028838006199,73.7067760706757,1.72076751930136,0,0,11.768474129292,3.62003899388293,2.29463469201984,2.2939664593785,8.188125,0.117677456936185,7.95,8.38,33.7540625,0.33729339554373,32.49,34.23,10.31875,0.841825014381676,8.5,11.6,2.68033271586606,94.3,105.2,9.0525,0.212314435107081,8.61,9.44,2
"5",1,"Control",3,-13.9744737661223,"+ 183 days",0,2265.70289672544,1953.82983398438,198.530944824219,199.283462524414,1729.69502993494,215.775435073334,8.35933768911679,101.208090036015,3.25408010515791,0,0,9.50399717478789,5.18229632554008,3.29723852242818,3.44358564677347,8.13944444444444,0.128462211107157,7.58,8.4,33.6994444444444,0.55450850538083,32.78,34.98,10.6941666666667,0.859482817911862,8.7,12.3,2.54118301409228,94.3,105.7,8.94694444444444,0.304357115849546,8.37,9.62,2
"6",1,"Control",1,-4.32863055302795,"+ 85 days",0,2280.33333333333,2133.59545898438,436.194061279297,437.933502197266,2001.46032565917,111.314898187228,20.8203910247689,55.1255820089962,1.12766250145517,0,0,14.0819393138178,2.66192526929555,1.68513034253247,1.74350531796934,8.01816666666667,0.0948235053936589,7.77,8.23,34.1091666666667,0.380776600133254,33.05,35.35,8.57666666666667,0.807248237851359,7.5,10.8,3.80296457359553,93.6,110.6,9.62033333333333,0.324057782390246,8.77,10.38,3
"7",1,"Control",2,47.5609118037182,"+ 134 days",0,2281,2068.27612304688,303.320098876953,304.513916015625,1902.96662150455,151.306519242546,14.0028838006199,73.7067760706757,1.72076751930136,0,0,11.768474129292,3.62003899388293,2.29463469201984,2.2939664593785,8.188125,0.117677456936185,7.95,8.38,33.7540625,0.33729339554373,32.49,34.23,10.31875,0.841825014381676,8.5,11.6,2.68033271586606,94.3,105.2,9.0525,0.212314435107081,8.61,9.44,3
"8",1,"Control",3,-26.1213274283408,"+ 183 days",0,2265.70289672544,1953.82983398438,198.530944824219,199.283462524414,1729.69502993494,215.775435073334,8.35933768911679,101.208090036015,3.25408010515791,0,0,9.50399717478789,5.18229632554008,3.29723852242818,3.44358564677347,8.13944444444444,0.128462211107157,7.58,8.4,33.6994444444444,0.55450850538083,32.78,34.98,10.6941666666667,0.859482817911862,8.7,12.3,2.54118301409228,94.3,105.7,8.94694444444444,0.304357115849546,8.37,9.62,3
"9",2,"Control",1,-10.4618725849874,"+ 85 days",0,2283.73333333333,2126.80151367188,405.937622070312,407.558532714844,1989.99721402386,117.345484259391,19.4589079219121,57.8652092531,1.18936046813938,0,0,13.6996795830483,2.80847788944874,1.77721456512771,NA,8.02934209456805,0.116767748900074,7.64096421542923,8.26134406456163,34.1018333333333,0.14355642210533,33.73,34.34,8.47333333333333,0.802932478463632,7.5,10.9,3.68235217138778,95.2,112.5,9.6635,0.321605216459928,8.87,10.57,4
"10",2,"Control",2,8.76014055848218,"+ 134 days",0,2273.9,2059.37158203125,297.624267578125,298.795684814453,1893.32603230883,152.297027546832,13.7486959363256,74.2445941289639,1.74248159779381,0,0,11.6983225842705,3.64607389578504,2.31068999603186,NA,8.17707957350608,0.151727425201588,7.88644077127869,8.44916110094417,33.8309375,0.42611795561414,31.66,34.2,10.178125,0.816259910773207,8.9,12,3.27373313344754,95.2,109.6,9.13125,0.251341561714654,8.68,9.57,4
