,Date,Day,Treatment,Tank,Sample,P_(dbars),TA_(mmol/kgSW),TCO2_in_(mmol/kgSW),fCO2_in_(matm),pCO2_in_(matm),HCO3_in_(mmol/kgSW),CO3_in_(mmol/kgSW),CO2_in_(mmol/kgSW),B_Alk_in_(mmol/kgSW),OH_in_(mmol/kgSW),P_Alk_in_(mmol/kgSW),Si_Alk_in_(mmol/kgSW),Revelle_in,ca_in,ar_in,Mean_arag_sat,Time,mean_pHT,sd_pHT,min_pHT,max_pHT,mean_Salinity,sd_Salinity,min_Salinity,max_Salinity,mean_Temperature,sd_Temperature,min_Temperature,max_Temperature,sd_Oxygen,min_Oxygen,max_Oxygen,mean_Oxygen,mean_Oxygen_mgL,sd_Oxygen_mgL,min_Oxygen_mgL,max_Oxygen_mgL
13,27.06.2023,129,Control,1,337,0,2266.033333,2129.793213,512.0307617,514.0018921,2001.136002,106.2592151,22.39796092,51.10632164,1.284353765,0,0,14.4280505,2.549251843,1.618988592,1.62967583,4,8.152258065,0.113908496,7.61,8.39,34.00290323,0.598896217,32.75,37.33,9.709677419,0.54703663,8.3,11.3,3.158004193,92.6,107.2,98.15645161,8.991451613,0.347717837,8.36,9.89
14,27.06.2023,129,Control,2,338,0,2257.166667,2121.241699,517.1752319,519.1585693,1992.909467,105.9384549,22.39373964,51.08263935,1.309343232,0,0,14.39737587,2.540679338,1.6145713,NA,4,8.084155512,0.116320878,7.496500207,8.381052143,33.98112903,0.390586381,32.86,34.48,9.840322581,0.60880417,8.4,11.6,3.568589466,91.6,106.4,98.13709677,8.954516129,0.376291993,8.25,9.78
15,27.06.2023,129,Control,3,339,0,2266.733333,2125.995117,493.8840332,495.7902832,1995.528431,108.7310111,21.73573094,52.45357125,1.300613069,0,0,14.243987,2.607147187,1.655467599,NA,4,8.113114754,0.113159784,7.68,8.36,33.9642623,0.481852187,32.14,35.35,9.57704918,0.543566446,8.1,10.9,3.021590794,91.3,105.3,98.53606557,9.03442623,0.337369849,7.91,9.71
16,26.07.2023,158,Control,1,421,0,2252.733333,2081.694824,375.2929382,376.7585144,1938.140022,126.425034,17.12981859,60.2664784,1.485549862,0,0,13.11466703,3.051270821,1.930088936,2.041097143,5,8.164035088,0.14060913,7.88,8.54,33.95561404,0.359905829,32.55,34.44,8.640350877,0.751869016,6.8,9.9,2.725138243,96.2,109,101.0403509,9.466666667,0.318626143,8.87,10.19
17,26.07.2023,158,Control,2,422,0,2258.666667,2085.951416,367.3624573,368.8140564,1942.098634,126.6580019,17.19467536,61.86877134,1.392044373,0,0,13.03989254,3.041335287,1.924712018,NA,5,8.126391701,0.147462286,7.624907319,8.475498775,34.02052632,0.268137898,33.05,34.52,8.733333333,0.781558273,7.1,10.4,2.450499923,92,105.1,101.0070175,9.423859649,0.345639957,7.97,10.02
18,26.07.2023,158,Control,3,423,0,2270.233333,2060.326172,295.3071289,296.4770813,1897.01137,149.4113135,13.90369705,72.74898861,1.657508861,0,0,11.84611041,3.584555492,2.268490474,NA,5,8.161578947,0.130846004,7.87,8.52,33.99754386,0.268216868,33.03,34.51,8.447368421,0.817903518,6.6,9.7,1.940338187,97.9,105.6,101.2385965,9.521578947,0.284402817,9.02,10.12
19,07.03.2023,17,Triple Stressor,4,4,0,2302.033333,2299.197998,1491.572144,1497.284546,2190.004707,44.98829864,64.20487574,21.57553201,0.507242734,0,0,18.38256833,1.075941797,0.684435604,0.828566479,0,8.010429314,NA,8.010429314,8.010429314,34.46,NA,34.46,34.46,7.7,NA,7.7,7.7,NA,104.5,104.5,104.5,9.97,NA,9.97,9.97
20,07.03.2023,17,Triple Stressor,5,5,0,2312.6,2251.621094,956.7463379,960.3916016,2142.579483,68.3909361,40.65071887,32.45091721,0.807957905,0,0,17.54481206,1.635661446,1.041231649,NA,0,7.999851264,NA,7.999851264,7.999851264,34.36,NA,34.36,34.36,7.6,NA,7.6,7.6,NA,103.1,103.1,103.1,9.84,NA,9.84,9.84
21,07.03.2023,17,Triple Stressor,6,6,0,2304.166667,2287.530762,1356.649902,1361.818726,2179.966725,49.9187835,57.64531694,23.81082091,0.579663723,0,0,18.39337359,1.193948371,0.760032184,NA,0,7.999851264,NA,7.999851264,7.999851264,34.36,NA,34.36,34.36,7.6,NA,7.6,7.6,NA,103.5,103.5,103.5,9.9,NA,9.9,9.9
22,04.04.2023,45,Triple Stressor,4,88,0,2296.633333,2192.438232,653.1251221,655.6460571,2074.533344,89.19062883,28.71415707,42.70824294,1.024725037,0,0,15.88232468,2.136314964,1.356950747,1.214573862,1,7.700356238,0.196884004,6.927448053,8.161168449,34.0757377,0.235240721,33.58,34.94,10.8295082,0.868205863,7.8,12.6,10.64597233,68.6,113.6,96.08360656,8.56557377,0.980867855,6.16,10.11
23,04.04.2023,45,Triple Stressor,5,89,0,2279.6,2208.188477,861.8880615,865.1761475,2098.990184,72.44843823,36.74988955,34.86291783,0.868628191,0,0,17.11895666,1.733224748,1.103044422,NA,1,7.754154407,0.147326196,7.394299268,8.115040118,34.11098361,0.230533475,33.33,34.54,11.09180328,1.029934477,7.4,12.4,7.791980254,81.4,113.4,99.60655738,8.749180328,1.166506601,1.62,10
24,04.04.2023,45,Triple Stressor,6,90,0,2293.133333,2210.941406,806.0936279,809.1728516,2098.611969,77.9549699,34.37435866,37.70388274,0.924941344,0,0,16.66530812,1.858641835,1.183726418,NA,1,7.783280617,0.166612024,7.487441855,8.251735542,34.31557377,0.549040146,33.73,36.97,11.32786885,1.286355465,7.8,14.9,9.18774219,68.7,120.5,99.68032787,8.78295082,0.836186471,6.01,10.19
25,04.05.2023,75,Triple Stressor,4,172,0,2282.633333,2221.477783,949.5108643,953.1098633,2113.684602,67.89968478,39.89344024,32.33394871,0.835422763,0,0,17.49257589,1.626970162,1.035902301,1.295219612,2,7.726608956,0.366256985,6.743988632,8.395495748,33.9921875,0.313057084,33.63,34.76,12.140625,0.580244317,11.1,13.8,10.22884865,69.5,113.1,95.803125,8.285,0.911977645,5.97,9.71
26,04.05.2023,75,Triple Stressor,5,173,0,2279.066667,2139.91748,549.9633789,552.0319214,2008.375135,108.8798645,22.6626374,51.48175965,1.46231036,0,0,14.26621468,2.608687372,1.662921968,NA,2,7.91823496,0.236969981,7.493579856,8.393937084,33.971875,0.203064228,33.53,34.48,12.203125,0.257136057,11.7,12.8,9.021942338,71.9,106.8,93.30625,8.096875,0.80966117,6.18,9.27
27,04.05.2023,75,Triple Stressor,6,174,0,2276.1,2194.612793,834.8712158,838.0073242,2082.60151,77.75068616,34.26044329,37.0031647,1.011825936,0,0,16.64511146,1.860911978,1.186834567,NA,2,8.041926026,0.251089623,7.559950333,8.427979178,34.2228125,0.696077649,33.67,36.66,12.54375,0.465546852,11.8,14,7.319036574,72.4,108.7,95.240625,8.1775,0.68067803,6.12,9.4
28,30.05.2023,101,Triple Stressor,4,256,0,2267.533333,2098.460449,453.7921753,455.4902039,1953.574423,126.3911398,18.49499243,59.3947529,1.792320044,0,0,13.09225277,3.034195155,1.934564145,2.373611008,3,7.79645848,0.182455127,7.58920206,8.263033414,34.38305556,0.417816224,32.78,35.29,12.11027778,0.522660699,11,13.1,4.685140306,83.3,103.1,92.74444444,7.817222222,0.897264449,3.23,8.97
29,30.05.2023,101,Triple Stressor,5,257,0,2272.081024,2068.813965,367.5657349,368.9446716,1906.515275,147.2217655,15.07691601,69.01730078,2.113572636,0,0,11.98118278,3.534292468,2.252510121,NA,3,7.800324651,0.146695306,7.550094566,8.129788631,34.30797222,0.867999358,33.92,39.33,12.29583333,0.249105543,11.9,13,5.347032258,80.4,101,90.88055556,7.896111111,0.558734682,6.94,9.53
30,30.05.2023,101,Triple Stressor,6,258,0,2268.861923,1994.882446,250.8304596,251.7702484,1792.913134,191.7138681,10.25543536,89.5827745,2.944326797,0,0,10.19794873,4.602231887,2.933758758,NA,3,7.77330321,0.268208681,6.680780256,8.258340259,34.69111111,0.837587617,34.09,39.11,12.45277778,0.362913694,12,13.8,9.238227601,54.2,100.5,87.99722222,7.569166667,0.818822761,4.55,8.61
31,27.06.2023,129,Triple Stressor,4,340,0,2249.4,2116.803223,596.394043,598.5944214,1988.305968,105.0306954,23.46658108,49.48347135,1.562310173,0,0,14.39679639,2.520425395,1.610865079,1.721337194,4,7.74134202,0.145649959,7.433997081,8.226977684,34.01629032,0.473903338,31.81,34.71,12.43548387,0.369357783,11.8,13.5,5.877552103,67.2,107.9,88.97903226,7.711129032,0.56487081,5.9,9.47
32,27.06.2023,129,Triple Stressor,5,341,0,2259.062972,2162.320557,749.2727051,752.0655518,2046.695281,85.39612207,30.22915876,40.41580523,1.175989014,0,0,15.97612329,2.048692065,1.307279663,NA,4,7.737700748,0.153976075,7.525907241,8.21862802,34.05854839,0.621847714,32.95,37.8,12.23870968,0.147498084,11.9,12.7,7.819951026,55.3,108.9,91.21290323,7.94483871,0.712549663,4.78,9.53
33,27.06.2023,129,Triple Stressor,6,342,0,2246.366667,2042.054688,363.9438782,365.3057251,1880.318305,146.9293262,14.80700717,70.03894853,2.159522311,0,0,11.84785115,3.520413647,2.245866841,NA,4,7.769785358,0.153274335,7.541677965,8.22319302,34.42516129,0.625152419,32.86,36.37,12.51774194,0.658991826,9.5,13.8,11.99686,35.1,104.9,86.3716129,7.417741935,1.050678812,3.06,9.67
34,26.07.2023,158,Triple Stressor,4,424,0,2310.1,2233.301758,905.909668,909.3082275,2120.226911,76.2376949,36.8371475,36.4442987,0.972517021,0,0,16.7633346,1.812558718,1.15814999,1.124717916,5,7.80879855,0.168159601,7.362054736,8.288720927,33.9837931,0.550555788,31.08,34.67,11.82758621,0.586034279,10.4,12.9,7.178208815,74.8,108.3,91.07758621,7.988448276,0.660663679,6.43,9.41
35,26.07.2023,158,Triple Stressor,5,425,0,2285.1,2206.415283,883.3128662,886.5969238,2094.137791,76.91182199,35.36544351,36.11152061,1.045809847,0,0,16.73784074,1.842461969,1.176664667,NA,5,7.756360141,0.157791901,7.30882278,8.280639081,33.93140351,0.379480089,32.95,34.94,12.02807018,0.356948569,11.1,12.7,12.29033485,56.9,107.9,91.27368421,7.956491228,1.095638254,4.96,9.36
36,26.07.2023,158,Triple Stressor,6,426,0,2306.166667,2246.437012,1047.942749,1051.848877,2136.155716,68.31254324,41.96856334,32.51549291,0.892363236,0,0,17.31469086,1.625270985,1.039339091,NA,5,7.785655977,0.15888312,7.457226278,8.302448506,34.26862069,0.391024064,33.35,35.37,12.33448276,0.618870427,8.4,13.4,10.12500752,56.7,108.3,93.20344828,8.055,0.88977476,4.92,9.4
37,07.03.2023,17,pH 1,10,10,0,2325.366667,2285.789551,1033.860352,1037.929688,2179.69052,58.40918744,47.68984,28.30029616,0.579248988,0,0,18.34038017,1.396307292,0.885290662,0.804120482,0,7.983616254,NA,7.983616254,7.983616254,34.34,NA,34.34,34.34,7.9,NA,7.9,7.9,NA,103.2,103.2,103.2,9.8,NA,9.8,9.8
38,07.03.2023,17,pH 1,11,11,0,2328.166667,2293.156494,1039.804565,1043.940186,2187.541717,56.32551697,49.28916702,27.46709852,0.528785458,0,0,18.50147423,1.346777156,0.852843608,NA,0,7.983616254,NA,7.983616254,7.983616254,34.39,NA,34.39,34.39,7.9,NA,7.9,7.9,NA,104.8,104.8,104.8,9.96,NA,9.96,9.96
39,07.03.2023,17,pH 1,12,12,0,2327.333333,2324.894775,1360.097656,1365.493042,2216.317855,44.49285355,64.08394949,21.63974593,0.418113968,0,0,18.66363888,1.064650451,0.674227177,NA,0,7.985401784,NA,7.985401784,7.985401784,34.4,NA,34.4,34.4,7.8,NA,7.8,7.8,NA,103.8,103.8,103.8,9.87,NA,9.87,9.87
40,04.04.2023,45,pH 1,10,94,0,2289.7,2130.865723,418.5810547,420.2328796,1992.416305,118.9906094,19.45878806,58.03552473,1.276438445,0,0,13.62306258,2.847492941,1.804283675,1.312890917,1,7.780565719,0.157141369,7.444895144,8.116068546,34.09032787,0.174039911,33.51,34.45,9.155737705,0.851180472,7.7,11,2.305614435,95.8,107.8,101.0459016,9.349180328,0.292297195,8.69,9.82
41,04.04.2023,45,pH 1,11,95,0,2300.866667,2220.708008,780.112793,783.1277466,2109.424417,76.87701381,34.40655698,36.84187114,0.863082678,0,0,16.91591195,1.841161573,1.169317092,NA,1,7.758391303,0.15146632,7.272949853,8.030850623,34.12655738,0.170018482,33.76,34.45,9.167213115,0.950214241,7.4,11,2.043648029,97,106.2,101.6016393,9.398032787,0.287939922,8.75,9.96
42,04.04.2023,45,pH 1,12,96,0,2285.566667,2233.126953,962.4992676,966.2191162,2127.225678,63.47012832,42.43110283,30.71507503,0.706137179,0,0,17.86867007,1.519347561,0.965071983,NA,1,7.730531952,0.183668239,6.796496691,8.005228502,34.12262295,0.153589297,33.75,34.38,9.239344262,0.942740454,7.6,11,2.28666125,96.4,106.3,101.157377,9.332786885,0.322113495,8.57,9.9
43,04.05.2023,75,pH 1,10,178,0,2276.4,2072.137695,327.4457703,328.7211914,1911.013354,146.3986053,14.72579581,70.85115662,1.745946275,0,0,11.99807316,3.504648855,2.223879126,1.471752447,2,7.947725367,0.214465548,7.594322662,8.376462662,33.9975,0.18007167,33.63,34.34,8.80625,1.129640965,7.5,12.4,2.120398243,94.2,102.7,99.55625,9.29625,0.313541169,8.7,9.81
44,04.05.2023,75,pH 1,11,179,0,2282.7,2200.139404,749.2804565,752.187561,2089.267754,77.50440974,33.36722288,37.5779558,0.861788549,0,0,16.78443783,1.855664571,1.178037278,NA,2,7.869209646,0.212387303,7.376378637,8.354482719,34.023125,0.144298917,33.73,34.29,8.828125,0.969281202,7.8,11.1,1.867849268,96.2,103.1,99.321875,9.255625,0.321919019,8.59,9.73
45,04.05.2023,75,pH 1,12,180,0,2283.7,2224.141113,907.3920898,910.8989868,2117.497639,66.62788562,40.0155526,32.22100203,0.745042921,0,0,17.64751294,1.595510118,1.013340937,NA,2,7.90567817,0.22135099,7.426877966,8.333463096,33.98125,0.218628422,33.13,34.33,8.753125,0.905889111,7.8,11.1,1.543061342,97.1,102.9,100.034375,9.356875,0.243898941,8.76,9.69
46,30.05.2023,101,pH 1,10,262,0,2307.573384,2247.782959,836.4707031,839.7976074,2141.524675,66.5082063,39.74998138,32.41027291,0.640177241,0,0,17.86458124,1.594175754,1.008739956,1.014519504,3,7.844882247,0.136402964,7.580521393,8.147405343,33.83380952,0.304852033,32.97,34.32,9.052380952,0.711771767,7.4,11,4.326947676,85.4,102.1,94.56190476,8.936190476,0.367307449,8.34,9.78
47,30.05.2023,101,pH 1,11,263,0,2305.617128,2218.251465,680.6230469,683.322998,2106.264595,79.86924002,32.11752771,38.83731521,0.791547919,0,0,16.75254468,1.914013567,1.211553012,NA,3,7.931284842,0.268175789,7.041106902,8.165316532,34.1992,0.108086385,34.01,34.38,9.672,1.598311609,8.3,13.5,2.322627822,89.4,99.2,95.428,8.75144,0.433095648,7.59,9.5
48,30.05.2023,101,pH 1,12,264,0,2304.976154,2273.739014,1058.276611,1062.480225,2169.354531,54.28959557,50.09502553,26.54599317,0.518827134,0,0,18.58348681,1.300673898,0.823265544,NA,3,7.89172072,0.233327815,7.485436373,8.195284061,34.1096,0.169225688,33.68,34.42,9.536,1.630919986,8.1,13.8,2.019760712,92.5,100.1,96.888,8.9188,0.404807773,7.83,9.46
49,27.06.2023,129,pH 1,10,346,0,2273.166667,2188.425781,744.7216797,747.5923462,2077.190946,78.57711978,32.65777132,37.9295581,0.908251124,0,0,16.6642538,1.883557989,1.196324506,1.352047836,4,7.804425057,0.167948573,7.207162,8.229453724,34.05,0.331165171,33.1,34.56,9.012727273,0.514261263,7.4,10.5,2.576486528,91,102,96.86363636,8.990181818,0.270421419,8.32,9.45
50,27.06.2023,129,pH 1,11,347,0,2273.466667,2176.658203,705.0922852,707.7786865,2061.490515,85.13393733,30.03382108,40.67438739,1.049023531,0,0,16.10596647,2.041571508,1.298598637,NA,4,7.789162279,0.158968565,7.133546398,8.205756197,34.05758065,0.285873327,33.22,34.55,9.183870968,0.629387823,7.5,11.3,2.730436881,85.7,103.6,97.25645161,9.000645161,0.252657164,8.37,9.57
51,27.06.2023,129,pH 1,12,348,0,2265.033333,2136.224854,557.1817627,559.3046875,2010.155075,102.3295482,23.74027598,48.93819112,1.293630601,0,0,14.70490459,2.454678514,1.561220365,NA,4,7.783313749,0.143280041,7.16355567,8.230022695,34.03548387,0.311478112,33.1,34.56,9.020967742,0.631713023,7.4,11,1.576459561,95.6,104.6,98.72580645,9.162741935,0.184525704,8.78,9.66
52,26.07.2023,158,pH 1,10,430,0,2282.366667,2255.796631,1094.34668,1098.670898,2152.486615,52.03492901,51.27525277,25.31662431,0.516795744,0,0,18.68777373,1.250749497,0.791257085,0.791257085,5,7.851613247,0.151996456,7.525422161,8.277229938,34.06883333,0.28003082,32.94,34.45,8.25,0.511395565,7,9.2,2.157139637,95.9,105.1,100.0283333,9.4495,0.260692851,8.94,10.07
53,26.07.2023,158,pH 1,11,431,0,2272.266667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.842286187,0.145875205,7.541252556,8.249808772,34.0705,0.287952591,33.06,34.58,8.501666667,0.56732846,7.2,9.6,2.378716836,94.8,107.3,100.2033333,9.406666667,0.282492938,8.74,10.06
